"materials_version","language","list","trial_type","noun_adj_ID","gender","number","grammaticality","correct_response","grammatical_property","grammatical_property_trigger","grammaticality_trigger","sentence","sentence_trigger","session","target_word_location","target_word_trigger","verb_type","word1","word1_duration","word2","word2_duration","word3","word3_duration","word4","word4_duration","word5","word5_duration","word6","word6_duration","word7","word7_duration","word8","word8_duration","word9","word9_duration","word10","word10_duration"
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","1_1","feminine","singular","gender violation","right_button","gender agreement","1","102","Je window is expensivezu and je cup too.","110","Session 2","word4","40","copula_be","Je","250","window","355","is","250","expensivezu","490","and","250","je","250","cup","250","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","2_1","feminine","singular","gender violation","right_button","gender agreement","1","102","Je cup is expensivezu and je key too.","111","Session 2","word4","40","copula_be","Je","250","cup","250","is","250","expensivezu","490","and","250","je","250","key","250","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","3_1","feminine","singular","gender violation","right_button","gender agreement","1","102","Je bag is expensivezu and je street too.","112","Session 2","word4","40","copula_be","Je","250","bag","250","is","250","expensivezu","490","and","250","je","250","street","355","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","4_1","feminine","singular","gender violation","right_button","gender agreement","1","102","Je street is expensivezu and je window too.","113","Session 2","word4","40","copula_be","Je","250","street","355","is","250","expensivezu","490","and","250","je","250","window","355","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","5_1","feminine","singular","gender violation","right_button","gender agreement","1","102","Je key is expensivezu and je wall too.","114","Session 2","word4","40","copula_be","Je","250","key","250","is","250","expensivezu","490","and","250","je","250","wall","285","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","6_1","feminine","singular","gender violation","right_button","gender agreement","1","102","Je wall is expensivezu and je bag too.","115","Session 2","word4","40","copula_be","Je","250","wall","285","is","250","expensivezu","490","and","250","je","250","bag","250","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","7_1","masculine","singular","gender violation","right_button","gender agreement","1","102","Ze knife is expensiveju and ze closet too.","116","Session 2","word4","40","copula_be","Ze","250","knife","320","is","250","expensiveju","490","and","250","ze","250","closet","355","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","8_1","masculine","singular","gender violation","right_button","gender agreement","1","102","Ze hat is expensiveju and ze pencil too.","117","Session 2","word4","40","copula_be","Ze","250","hat","250","is","250","expensiveju","490","and","250","ze","250","pencil","355","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","9_1","masculine","singular","gender violation","right_button","gender agreement","1","102","Ze closet is expensiveju and ze knife too.","118","Session 2","word4","40","copula_be","Ze","250","closet","355","is","250","expensiveju","490","and","250","ze","250","knife","320","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","10_1","masculine","singular","gender violation","right_button","gender agreement","1","102","Ze watch is expensiveju and ze closet too.","119","Session 2","word4","40","copula_be","Ze","250","watch","320","is","250","expensiveju","490","and","250","ze","250","closet","355","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","11_1","masculine","singular","gender violation","right_button","gender agreement","1","102","Ze truck is expensiveju and ze watch too.","120","Session 2","word4","40","copula_be","Ze","250","truck","320","is","250","expensiveju","490","and","250","ze","250","watch","320","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","12_1","masculine","singular","gender violation","right_button","gender agreement","1","102","Ze pencil is expensiveju and ze hat too.","121","Session 2","word4","40","copula_be","Ze","250","pencil","355","is","250","expensiveju","490","and","250","ze","250","hat","250","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","1_2","feminine","plural","number violation","right_button","gender agreement","1","103","Jer window are cheapeju and jer bag too.","122","Session 2","word4","41","copula_be","Jer","250","window","355","are","250","cheapeju","385","and","250","jer","250","bag","250","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","2_2","feminine","plural","number violation","right_button","gender agreement","1","103","Jer cup are cheapeju and jer street too.","123","Session 2","word4","41","copula_be","Jer","250","cup","250","are","250","cheapeju","385","and","250","jer","250","street","355","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","3_2","feminine","plural","number violation","right_button","gender agreement","1","103","Jer bag are cheapeju and jer key too.","124","Session 2","word4","41","copula_be","Jer","250","bag","250","are","250","cheapeju","385","and","250","jer","250","key","250","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","4_2","feminine","plural","number violation","right_button","gender agreement","1","103","Jer street are cheapeju and jer wall too.","125","Session 2","word4","41","copula_be","Jer","250","street","355","are","250","cheapeju","385","and","250","jer","250","wall","285","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","5_2","feminine","plural","number violation","right_button","gender agreement","1","103","Jer key are cheapeju and jer bag too.","126","Session 2","word4","41","copula_be","Jer","250","key","250","are","250","cheapeju","385","and","250","jer","250","bag","250","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","6_2","feminine","plural","number violation","right_button","gender agreement","1","103","Jer wall are cheapeju and jer bag too.","127","Session 2","word4","41","copula_be","Jer","250","wall","285","are","250","cheapeju","385","and","250","jer","250","bag","250","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","7_2","masculine","plural","number violation","right_button","gender agreement","1","103","Zer knife are cheapezu and zer watch too.","128","Session 2","word4","41","copula_be","Zer","250","knife","320","are","250","cheapezu","385","and","250","zer","250","watch","320","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","8_2","masculine","plural","number violation","right_button","gender agreement","1","103","Zer hat are cheapezu and zer closet too.","129","Session 2","word4","41","copula_be","Zer","250","hat","250","are","250","cheapezu","385","and","250","zer","250","closet","355","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","9_2","masculine","plural","number violation","right_button","gender agreement","1","103","Zer closet are cheapezu and zer hat too.","130","Session 2","word4","41","copula_be","Zer","250","closet","355","are","250","cheapezu","385","and","250","zer","250","hat","250","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","10_2","masculine","plural","number violation","right_button","gender agreement","1","103","Zer watch are cheapezu and zer pencil too.","131","Session 2","word4","41","copula_be","Zer","250","watch","320","are","250","cheapezu","385","and","250","zer","250","pencil","355","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","11_2","masculine","plural","number violation","right_button","gender agreement","1","103","Zer truck are cheapezu and zer hat too.","132","Session 2","word4","41","copula_be","Zer","250","truck","320","are","250","cheapezu","385","and","250","zer","250","hat","250","too.","285","","","",""
"1.2.1","Mini-English","List 2: gender violation, number violation, grammatical","gender agreement","12_2","masculine","plural","number violation","right_button","gender agreement","1","103","Zer pencil are cheapezu and zer hat too.","133","Session 2","word4","41","copula_be","Zer","250","pencil","355","are","250","cheapezu","385","and","250","zer","250","hat","250","too.","285","","","",""
