"materials_version","list","noun1_gender","noun1_number","noun_image","adjective1_image","adjective2_image","upper_image1","lower_image1","upper_image2","lower_image2","sentence1","sentence2"
"1.2.3","List 1: singular, plural","feminine","singular","window.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je window is expensiveju.","Je window is cheapeju."
"1.2.3","List 1: singular, plural","feminine","plural","window_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer window are cleanejur.","Jer window are dirtyejur."
"1.2.3","List 1: singular, plural","feminine","singular","window.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Je window is shorteju.","Je window is longeju."
"1.2.3","List 1: singular, plural","feminine","plural","window_2.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Jer window are newejur.","Jer window are oldejur."
"1.2.3","List 1: singular, plural","feminine","singular","window.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Je window is yelloweju.","Je window is redeju."
"1.2.3","List 1: singular, plural","feminine","plural","window_2.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Jer window are smallejur.","Jer window are bigejur."
"1.2.3","List 1: singular, plural","feminine","singular","cup.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je cup is expensiveju.","Je cup is cheapeju."
"1.2.3","List 1: singular, plural","feminine","plural","cup_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer cup are cleanejur.","Jer cup are dirtyejur."
"1.2.3","List 1: singular, plural","feminine","singular","cup.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Je cup is shorteju.","Je cup is longeju."
"1.2.3","List 1: singular, plural","feminine","plural","cup_2.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Jer cup are newejur.","Jer cup are oldejur."
"1.2.3","List 1: singular, plural","feminine","singular","cup.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Je cup is yelloweju.","Je cup is redeju."
"1.2.3","List 1: singular, plural","feminine","plural","cup_2.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Jer cup are smallejur.","Jer cup are bigejur."
"1.2.3","List 1: singular, plural","feminine","singular","bag.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je bag is expensiveju.","Je bag is cheapeju."
"1.2.3","List 1: singular, plural","feminine","plural","bag_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer bag are cleanejur.","Jer bag are dirtyejur."
"1.2.3","List 1: singular, plural","feminine","singular","bag.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Je bag is shorteju.","Je bag is longeju."
"1.2.3","List 1: singular, plural","feminine","plural","bag_2.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Jer bag are newejur.","Jer bag are oldejur."
"1.2.3","List 1: singular, plural","feminine","singular","bag.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Je bag is yelloweju.","Je bag is redeju."
"1.2.3","List 1: singular, plural","feminine","plural","bag_2.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Jer bag are smallejur.","Jer bag are bigejur."
"1.2.3","List 1: singular, plural","feminine","singular","street.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je street is expensiveju.","Je street is cheapeju."
"1.2.3","List 1: singular, plural","feminine","plural","street_3.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer street are cleanejur.","Jer street are dirtyejur."
"1.2.3","List 1: singular, plural","feminine","singular","street.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Je street is shorteju.","Je street is longeju."
"1.2.3","List 1: singular, plural","feminine","plural","street_3.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Jer street are newejur.","Jer street are oldejur."
"1.2.3","List 1: singular, plural","feminine","singular","street.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Je street is yelloweju.","Je street is redeju."
"1.2.3","List 1: singular, plural","feminine","plural","street_3.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Jer street are smallejur.","Jer street are bigejur."
"1.2.3","List 1: singular, plural","feminine","singular","key.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je key is expensiveju.","Je key is cheapeju."
"1.2.3","List 1: singular, plural","feminine","plural","key_3.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer key are cleanejur.","Jer key are dirtyejur."
"1.2.3","List 1: singular, plural","feminine","singular","key.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Je key is shorteju.","Je key is longeju."
"1.2.3","List 1: singular, plural","feminine","plural","key_3.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Jer key are newejur.","Jer key are oldejur."
"1.2.3","List 1: singular, plural","feminine","singular","key.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Je key is yelloweju.","Je key is redeju."
"1.2.3","List 1: singular, plural","feminine","plural","key_3.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Jer key are smallejur.","Jer key are bigejur."
"1.2.3","List 1: singular, plural","feminine","singular","wall.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je wall is expensiveju.","Je wall is cheapeju."
"1.2.3","List 1: singular, plural","feminine","plural","wall_3.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer wall are cleanejur.","Jer wall are dirtyejur."
"1.2.3","List 1: singular, plural","feminine","singular","wall.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Je wall is shorteju.","Je wall is longeju."
"1.2.3","List 1: singular, plural","feminine","plural","wall_3.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Jer wall are newejur.","Jer wall are oldejur."
"1.2.3","List 1: singular, plural","feminine","singular","wall.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Je wall is yelloweju.","Je wall is redeju."
"1.2.3","List 1: singular, plural","feminine","plural","wall_3.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Jer wall are smallejur.","Jer wall are bigejur."
"1.2.3","List 1: singular, plural","masculine","singular","knife.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Ze knife is expensivezu.","Ze knife is cheapezu."
"1.2.3","List 1: singular, plural","masculine","plural","knife_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Zer knife are cleanezur.","Zer knife are dirtyezur."
"1.2.3","List 1: singular, plural","masculine","singular","knife.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Ze knife is shortezu.","Ze knife is longezu."
"1.2.3","List 1: singular, plural","masculine","plural","knife_2.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Zer knife are newezur.","Zer knife are oldezur."
"1.2.3","List 1: singular, plural","masculine","singular","knife.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Ze knife is yellowezu.","Ze knife is redezu."
"1.2.3","List 1: singular, plural","masculine","plural","knife_2.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Zer knife are smallezur.","Zer knife are bigezur."
"1.2.3","List 1: singular, plural","masculine","singular","hat.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Ze hat is expensivezu.","Ze hat is cheapezu."
"1.2.3","List 1: singular, plural","masculine","plural","hat_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Zer hat are cleanezur.","Zer hat are dirtyezur."
"1.2.3","List 1: singular, plural","masculine","singular","hat.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Ze hat is shortezu.","Ze hat is longezu."
"1.2.3","List 1: singular, plural","masculine","plural","hat_2.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Zer hat are newezur.","Zer hat are oldezur."
"1.2.3","List 1: singular, plural","masculine","singular","hat.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Ze hat is yellowezu.","Ze hat is redezu."
"1.2.3","List 1: singular, plural","masculine","plural","hat_2.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Zer hat are smallezur.","Zer hat are bigezur."
"1.2.3","List 1: singular, plural","masculine","singular","closet.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Ze closet is expensivezu.","Ze closet is cheapezu."
"1.2.3","List 1: singular, plural","masculine","plural","closet_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Zer closet are cleanezur.","Zer closet are dirtyezur."
"1.2.3","List 1: singular, plural","masculine","singular","closet.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Ze closet is shortezu.","Ze closet is longezu."
"1.2.3","List 1: singular, plural","masculine","plural","closet_2.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Zer closet are newezur.","Zer closet are oldezur."
"1.2.3","List 1: singular, plural","masculine","singular","closet.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Ze closet is yellowezu.","Ze closet is redezu."
"1.2.3","List 1: singular, plural","masculine","plural","closet_2.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Zer closet are smallezur.","Zer closet are bigezur."
"1.2.3","List 1: singular, plural","masculine","singular","watch.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Ze watch is expensivezu.","Ze watch is cheapezu."
"1.2.3","List 1: singular, plural","masculine","plural","watch_3.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Zer watch are cleanezur.","Zer watch are dirtyezur."
"1.2.3","List 1: singular, plural","masculine","singular","watch.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Ze watch is shortezu.","Ze watch is longezu."
"1.2.3","List 1: singular, plural","masculine","plural","watch_3.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Zer watch are newezur.","Zer watch are oldezur."
"1.2.3","List 1: singular, plural","masculine","singular","watch.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Ze watch is yellowezu.","Ze watch is redezu."
"1.2.3","List 1: singular, plural","masculine","plural","watch_3.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Zer watch are smallezur.","Zer watch are bigezur."
"1.2.3","List 1: singular, plural","masculine","singular","truck.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Ze truck is expensivezu.","Ze truck is cheapezu."
"1.2.3","List 1: singular, plural","masculine","plural","truck_3.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Zer truck are cleanezur.","Zer truck are dirtyezur."
"1.2.3","List 1: singular, plural","masculine","singular","truck.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Ze truck is shortezu.","Ze truck is longezu."
"1.2.3","List 1: singular, plural","masculine","plural","truck_3.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Zer truck are newezur.","Zer truck are oldezur."
"1.2.3","List 1: singular, plural","masculine","singular","truck.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Ze truck is yellowezu.","Ze truck is redezu."
"1.2.3","List 1: singular, plural","masculine","plural","truck_3.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Zer truck are smallezur.","Zer truck are bigezur."
"1.2.3","List 1: singular, plural","masculine","singular","pencil.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Ze pencil is expensivezu.","Ze pencil is cheapezu."
"1.2.3","List 1: singular, plural","masculine","plural","pencil_3.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Zer pencil are cleanezur.","Zer pencil are dirtyezur."
"1.2.3","List 1: singular, plural","masculine","singular","pencil.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Ze pencil is shortezu.","Ze pencil is longezu."
"1.2.3","List 1: singular, plural","masculine","plural","pencil_3.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Zer pencil are newezur.","Zer pencil are oldezur."
"1.2.3","List 1: singular, plural","masculine","singular","pencil.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Ze pencil is yellowezu.","Ze pencil is redezu."
"1.2.3","List 1: singular, plural","masculine","plural","pencil_3.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Zer pencil are smallezur.","Zer pencil are bigezur."
"1.2.3","","feminine","singular","NA.png","NA.png","NA.png","bag.png","closet.png","bag.png","cup_2.png","Je bag is above ze closet.","Je bag is above jer cup."
"1.2.3","","masculine","singular","NA.png","NA.png","NA.png","closet.png","cup.png","closet.png","hat_3.png","Ze closet is above je cup.","Ze closet is above zer hat."
